episode,name,line,emotion,score
4x02 - The Best Burger in New York,Ted," We didn't know our way around. Just getting back to the apartment took us three hours and one very helpful drag queen.
",surprise,0.47969484329223633
4x02 - The Best Burger in New York,Marshall," Wait, Penny Noir was a drag queen?
",surprise,0.779090404510498
4x02 - The Best Burger in New York,Robin," Where do you think it was?
",neutral,0.5911940932273865
4x02 - The Best Burger in New York,Lily," Probably tucked between her legs.
",neutral,0.43394529819488525
4x02 - The Best Burger in New York,Barney," You know what's not a drag? Getting a home equity loan at Goliath National Bank. I'm just saying.
",neutral,0.7174673080444336
4x02 - The Best Burger in New York,Marshall," Anyways, we never found the place. Now, eight years have passed, still... No burger.
",neutral,0.4824168086051941
4x02 - The Best Burger in New York,Marshall," Okay, here we go.
",neutral,0.7770346999168396
4x02 - The Best Burger in New York,Marshall," No, you don't.
",neutral,0.4385179579257965
4x02 - The Best Burger in New York,Marshall," Oh, the Corner Bistro! It's amazing, I spent a quarter of my life searching for the best burger in New York City, but silly me, it never occurred to me to check the highest-rated burger in the Zagat guide. Wow, thanks a lot, guy. Let me return the favor. Great cup of coffee: Starbucks.
",surprise,0.9420942664146423
4x02 - The Best Burger in New York,Robin," So I take it you've tried the Corner Bistro.
",neutral,0.9442739486694336
4x02 - The Best Burger in New York,Marshall," Robin, I've tried every so-called best burger in New York City trying to find that burger. Or at least forget about her.
",neutral,0.9648420810699463
4x02 - The Best Burger in New York,Marshall,"(getting up)
",neutral,0.8881359100341797
4x02 - The Best Burger in New York,Marshall," But none of those places even came close.
",neutral,0.5991258025169373
4x02 - The Best Burger in New York,Ted," There was that one time we thought we had a break in the case, remember?
",neutral,0.5739045739173889
4x02 - The Best Burger in New York,Barney," Get this. You know who works out at my gym? Regis Philbin.
",neutral,0.6789380311965942
4x02 - The Best Burger in New York,Marshall,"(Watching Ted)
",joy,0.6188439726829529
4x02 - The Best Burger in New York,Marshall," That's the one, Mr. Philbin. Do you remember where it is?
",neutral,0.6762431859970093
4x02 - The Best Burger in New York,Marshall," No.
",neutral,0.8915584087371826
4x02 - The Best Burger in New York,Barney," No. No, we don't know where it is.
",neutral,0.44315749406814575
4x02 - The Best Burger in New York,Barney," I don't know where it is, Regis, I swear!
",disgust,0.32634711265563965
4x02 - The Best Burger in New York,Barney," OK, Regis, we will, we will.
",neutral,0.9160292148590088
4x02 - The Best Burger in New York,Barney," All right.
",neutral,0.8254510164260864
4x02 - The Best Burger in New York,Marshall," That's where my story ends. Now I'm doomed to walk the earth forever searching for that green door and that red neon sign that says ""Burger.""
",sadness,0.6643787026405334
4x02 - The Best Burger in New York,Robin," Green door, red neon sign that says ""Burger?""
",neutral,0.4912276566028595
4x02 - The Best Burger in New York,Marshall," Yeah.
",neutral,0.879830002784729
4x02 - The Best Burger in New York,Robin," I know that place. I've walked by it a million times. It's on West 12th, right off of 7th.
",neutral,0.8247858285903931
4x02 - The Best Burger in New York,Marshall," I knew it was on a numbered street!
",surprise,0.8791038990020752
4x02 - The Best Burger in New York,Robin," Finally.
",neutral,0.8845680952072144
4x02 - The Best Burger in New York,Marshall,"(taking Robin's burger in his hands)
",neutral,0.39481425285339355
4x02 - The Best Burger in New York,Robin," No...
",neutral,0.7733649015426636
4x02 - The Best Burger in New York,Marshall," I cannot believe we're finally gonna have this burger
",surprise,0.9587686061859131
4x02 - The Best Burger in New York,Lily," Honey, I'm so excited for you. After all these interviews, after all these disappointments, you deserve a triumphant mouth full of meat.
",joy,0.8875659704208374
4x02 - The Best Burger in New York,Barney," You know what else is a mouthful? All that double-talk other banks give you. At Goliath, customer satisfaction is our most important investment.
",neutral,0.9324049949645996
4x02 - The Best Burger in New York,Lily," Barney, I hate to break this to you, but working for a bank's kind of lame.
",disgust,0.6634443998336792
4x02 - The Best Burger in New York,Barney," How lame is free a*t*matic bill pay? How lame is 3.3% APY online savings? Yeah, that's right. Hate to make you look stupid in front of your friends, but you left me no choice.
",anger,0.5707567930221558
4x02 - The Best Burger in New York,Ted," We should probably call Regis.
",neutral,0.9504919052124023
4x02 - The Best Burger in New York,Barney," Reg...
",neutral,0.8032547831535339
4x02 - The Best Burger in New York,Marshall," Green door, red neon sign. Guys, this is the place. I've actually, I prepared a few words.
",neutral,0.5539857745170593
4x02 - The Best Burger in New York,Robin,"(On nerves)
",fear,0.4637690782546997
4x02 - The Best Burger in New York,Marshall,"Let's just go inside then. Shall we?
",neutral,0.9212429523468018
4x02 - The Best Burger in New York,Robin," Please, go ahead, start.
",fear,0.6587217450141907
4x02 - The Best Burger in New York,Robin," Just shut up and eat.
",anger,0.3878917396068573
4x02 - The Best Burger in New York,Barney," All right.
",neutral,0.8254510164260864
4x02 - The Best Burger in New York,Ted," Oh my god. I'm never brushing my teeth again unless it's with a toothbrush made from this burger.
",surprise,0.681888222694397
4x02 - The Best Burger in New York,Lily," I think I just had my first burg-asm.
",neutral,0.7095575928688049
4x02 - The Best Burger in New York,Barney," I want... to take this burger out to dinner, then maybe a movie, then take it back to my place, put on a little Terence Trent D'arby, and then I would just... fool around a little bit. Nothing serious, just take it slow, you know?
",neutral,0.5566844940185547
4x02 - The Best Burger in New York,Marshall,"(putting his burger in his plate)
",disgust,0.3760848045349121
4x02 - The Best Burger in New York,Marshall," It's not it.
",neutral,0.8215252161026001
4x02 - The Best Burger in New York,Ted," Marshall, you might not want to hear this, but... is it at all possible this is the same
",surprise,0.6728122234344482
4x02 - The Best Burger in New York,Robin," I mean, it is just a burger.
",neutral,0.7917299270629883
4x02 - The Best Burger in New York,Marshall," Just a burger? It's so much more than just a burger. I mean, that first bite... Oh, what heaven that first bite is. The bun, like a sesame-freckled breast of an angel, resting gently on the ketchup and mustard below. Flavors mingling in a seductive ""pas de deux"". And then... a pickle the most... playful... little pickle, and then a slice of tomato, a leaf of lettuce, and a... a patty... of ground beef, so... exquisite...swirling in your mouth, breaking apart and combining again in a fugue of sweets and savories so... delightful. This is no mere sandwich of grilled meat and toasted bread. This is God... speaking to us through food.
",joy,0.5993846654891968
4x02 - The Best Burger in New York,Lily," And you got our wedding vows off the Internet.
",neutral,0.42092159390449524
4x02 - The Best Burger in New York,Marshall," Okay, look, so, so this, this isn't the place. All right, it's no big deal. It's another place with a green door and a red neon sign that says ""Burger"". I'll just... I'll call every restaurant in Manhattan and ask 'em what colour their door is. No big deal, right? Let's do this.
",disgust,0.4556427299976349
4x02 - The Best Burger in New York,Robin," I'm going to go out on a limb here and say this isn't just about a burger.
",neutral,0.7220118045806885
4x02 - The Best Burger in New York,Lily," Marshall's not doing so well, guys. He really needs to get a job.
",sadness,0.7042859196662903
4x02 - The Best Burger in New York,Ted," Tell them about the underpants.
",disgust,0.5590988993644714
4x02 - The Best Burger in New York,Robin," What about the underpants?
",neutral,0.689111590385437
4x02 - The Best Burger in New York,Lily," It started a couple of weeks ago.
",neutral,0.8241968750953674
4x02 - The Best Burger in New York,Marshall," Heads! It's going to be heads. It's almost usually heads.
",surprise,0.49427664279937744
4x02 - The Best Burger in New York,Lily," Hey, baby.
",joy,0.4387018382549286
4x02 - The Best Burger in New York,Marshall," Hey!
",joy,0.7752019166946411
4x02 - The Best Burger in New York,Lily," Did you put on pants today?
",neutral,0.5145919919013977
4x02 - The Best Burger in New York,Marshall," Nope.
",neutral,0.916172981262207
4x02 - The Best Burger in New York,Lily," It was funny at first, but then it became a daily thing. I thought, ""Okay, well, at least he's not leaving the house like that."" Then, one day, he opened the door to get the paper. Day after that, went downstairs to get the mail.
",surprise,0.36557817459106445
4x02 - The Best Burger in New York,Ted," Everyone's got an underpants radius. For most of us, it's the distance from the bedroom to the bathroom, but as your self-esteem gets smaller, your underpants radius gets bigger.
",neutral,0.9442712068557739
4x02 - The Best Burger in New York,Robin," How big is Marshall's underpants radius?
",neutral,0.6615882515907288
4x02 - The Best Burger in New York,Marshall," We're going.
",neutral,0.8210688829421997
4x02 - The Best Burger in New York,Ted," Come on, Lily, he'll find a job eventually.
",neutral,0.856095552444458
4x02 - The Best Burger in New York,Barney," You know, Lil, when times are tough, I like to remember the uplifting words of my favourite song.
",joy,0.6604295969009399
4x02 - The Best Burger in New York,Lily," We've got to find Marshall that burger.
",neutral,0.9557722806930542
4x02 - The Best Burger in New York,Ted," Lily, I think we're all eating that burger.
",neutral,0.860077977180481
4x02 - The Best Burger in New York,Robin," I'm not eating that burger.
",disgust,0.6773563027381897
4x02 - The Best Burger in New York,Lily," No, if Marshall says this isn't the burger, this isn't it.
",neutral,0.8186888098716736
4x02 - The Best Burger in New York,Robin," Finally.
",neutral,0.8845680952072144
4x02 - The Best Burger in New York,Lily," Excuse me. Did you guys change cooks or something? Because my husband was here 5 years ago, he's sure he had a different burger.
",neutral,0.5600210428237915
4x02 - The Best Burger in New York,Ted," What? Uptown? Where?
",neutral,0.42571091651916504
4x02 - The Best Burger in New York,Robin," Damn it.
",anger,0.6919917464256287
4x02 - The Best Burger in New York,Marshall," 106. A numbered street. Of course.
",neutral,0.9054155349731445
4x02 - The Best Burger in New York,Barney," Barney Stinson.
",neutral,0.8650607466697693
4x02 - The Best Burger in New York,Barney," I'm sorry, this is...?
",surprise,0.7802006602287292
4x02 - The Best Burger in New York,Barney," Of course. I'm sorry, I forgot to call you. That's not the place. The real place is on 106th and Manhattan Avenue. We're headed there right now.
",sadness,0.4493803381919861
4x02 - The Best Burger in New York,Barney," Onions?
",surprise,0.5248720645904541
4x02 - The Best Burger in New York,Barney," Okay, no onions.
",disgust,0.44522103667259216
4x02 - The Best Burger in New York,Marshall," Stop the cab!
",anger,0.8798593282699585
4x02 - The Best Burger in New York,Marshall," Wait. This is it.
",neutral,0.8237853646278381
4x02 - The Best Burger in New York,Marshall," This is it.
",neutral,0.8621561527252197
4x02 - The Best Burger in New York,Barney," One of 9,000 convenient locations.
",neutral,0.6145695447921753
4x02 - The Best Burger in New York,Marshall," It was ri... it was right here. It was... it was right on this very spot.
",surprise,0.6750423908233643
4x02 - The Best Burger in New York,Robin," I don't understand. Where is the burger place?
",surprise,0.8555993437767029
4x02 - The Best Burger in New York,Ted," It's not a burger place anymore; it's a Goliath National Bank ATM.
",neutral,0.7707025408744812
4x02 - The Best Burger in New York,Robin,"(getting crazy)
",anger,0.6136305928230286
4x02 - The Best Burger in New York,Ted," We can't eat here. It's an ATM.
",disgust,0.49793314933776855
4x02 - The Best Burger in New York,Robin," But... food.
",neutral,0.4188918173313141
4x02 - The Best Burger in New York,Barney," What the...
",surprise,0.8351666927337646
4x02 - The Best Burger in New York,Lily," This is your fault, you and your stupid bank. You did this.
",anger,0.815791130065918
4x02 - The Best Burger in New York,Barney," It's not my... Stop, okay.
",anger,0.41836124658584595
4x02 - The Best Burger in New York,Lily," I will never use a Goliath ATM ever again. Goliath National Bank sucks. It's the worst bank on the face of the earth. Attention, New Yorkers, this bank sucks! They suck!
",disgust,0.932548463344574
4x02 - The Best Burger in New York,Barney," Marshall, Geez.
",surprise,0.5080454349517822
4x02 - The Best Burger in New York,Lily," They suck, suck!
",disgust,0.9661426544189453
4x02 - The Best Burger in New York,Barney," Will you just tell her already?
",neutral,0.3753483295440674
4x02 - The Best Burger in New York,Lily," Tell me what? Tell me what?
",anger,0.4877515137195587
4x02 - The Best Burger in New York,Marshall," I got a job.
",joy,0.9792208671569824
4x02 - The Best Burger in New York,Lily," What? Where?
",surprise,0.7240517139434814
4x02 - The Best Burger in New York,Marshall," Goliath National Bank. That's why Barney's been going on and on about how, how great Goliath is. He wanted you to be excited for me since we will to working together.
",joy,0.4393378496170044
4x02 - The Best Burger in New York,Barney," Well, technically not together. You won't have access to my floor.
",neutral,0.7748764157295227
4x02 - The Best Burger in New York,Lily," But you want to be an environmental lawyer.
",neutral,0.9130430817604065
4x02 - The Best Burger in New York,Marshall," Yeah and I also want to be a Harlem Globetrotter and get paid in candy, but in the meantime, I need a job, and this is, this is a really good one. It's great pay and there's good benefits, and to be honest, it gives me a reason to put on pants in the morning. You know, I have my whole life to save the planet, but right now I'm kind of really excited to wear pants again.
",joy,0.949277400970459
4x02 - The Best Burger in New York,Lily," You've got great pants.
",neutral,0.927875816822052
4x02 - The Best Burger in New York,Marshall," I love you.
",joy,0.9446649551391602
4x02 - The Best Burger in New York,Lily," I love you.
",joy,0.9446649551391602
4x02 - The Best Burger in New York,Ted," Robin, no!
",anger,0.4088214337825775
4x02 - The Best Burger in New York,Robin," They're unopened.
",sadness,0.39860957860946655
4x02 - The Best Burger in New York,Ted," Give it.
",neutral,0.8326496481895447
4x02 - The Best Burger in New York,Robin," They're barbecue.
",neutral,0.8380596041679382
4x02 - The Best Burger in New York,Ted," Give it!
",anger,0.4427322447299957
4x02 - The Best Burger in New York,Lily," I'm sorry you didn't get your burger.
",sadness,0.7199599742889404
4x02 - The Best Burger in New York,Marshall," It's stupid. I think about that first week in New York. You know? I was 22 years old. I had my whole future ahead of me. I guess I just kind of thought that if I could have that burger one more time and feel that way for one more night, that I might be able to check that off the list, and grow up, go work for the stupid bank, and just... be happy.
",disgust,0.36194998025894165
4x02 - The Best Burger in New York,Robin,"(Licking an envelope.)
",neutral,0.5673017501831055
4x02 - The Best Burger in New York,Marshall," Let's pay the man.
",anger,0.7723889946937561
4x02 - The Best Burger in New York,Lily," I paid for the cab.
",neutral,0.31807321310043335
4x02 - The Best Burger in New York,Ted," I have any cash.
",neutral,0.702431857585907
4x02 - The Best Burger in New York,Marshall," I haven't worked since March.
",sadness,0.9045982360839844
4x02 - The Best Burger in New York,Barney," If only there were an easy, convenient way to get some cash right now.
",neutral,0.8923315405845642
4x02 - The Best Burger in New York,Barney," Member FDIC.
",neutral,0.8912946581840515
4x02 - The Best Burger in New York,Marshall," Thank you.
",joy,0.5222035646438599
4x02 - The Best Burger in New York,Ted," All right, Marshall, remember. It might not taste as good. This place has changed, you've changed, New York has changed. Just... don't get your hopes up too high, okay?
",neutral,0.4852668344974518
4x02 - The Best Burger in New York,Marshall," This is it.
",neutral,0.8621561527252197
4x02 - The Best Burger in New York,Marshall," It's exactly the same. It's the best burger in New York. Go ahead, eat up, eat up.
",neutral,0.8756163716316223
4x02 - The Best Burger in New York,Lily," I want to get tiny fitted sheets for this burger, and just... crawl into this bun, get all cosy, and die there.
",neutral,0.8651149868965149
4x02 - The Best Burger in New York,Robin," Oh, my God. I just want you inside of me.
",surprise,0.4826218783855438
4x02 - The Best Burger in New York,Barney," This feels so good. I'm worried I'm gonna get this burger pregnant.
",fear,0.5795724987983704
4x02 - The Best Burger in New York,Marshall," If he does get that burger pregnant, I have dibs on the delicious burger babies.
",neutral,0.8712214231491089
4x02 - The Best Burger in New York,Barney," That's outrageous.
",disgust,0.8128262162208557
4x02 - The Best Burger in New York,Marshall," You were just freakin' teasing us.
",anger,0.6099873781204224
5x08 - The Playbook,Lily," You see that guy over there in diving suit? You think you're going to go talk to him?
",surprise,0.5631226897239685
5x08 - The Playbook,Lily," Okay. This is certainly the biggest con on this planet.
",disgust,0.910689651966095
5x08 - The Playbook,Lily," This is one of my best friends.
",joy,0.8226075768470764
5x08 - The Playbook,Lily," It's a long story. You see, he just break...
",neutral,0.5314096808433533
5x08 - The Playbook,Robin," My career. This is my new priority. From now on, more a date. The job.
",neutral,0.6799768805503845
5x08 - The Playbook,Barney," All women of New York. That's right, Barney Stinson is back on the market. Mother, lock your daughters. Daughters, lock your MAQACENJaR.
",neutral,0.8581563830375671
5x08 - The Playbook,Marshall," MAQACENJaR?
",neutral,0.622024655342102
5x08 - The Playbook,Ted," Wait, I can find. With Mothers Who I'd like Sunset And Never Forgot.
",neutral,0.6838862299919128
5x08 - The Playbook,Barney," You have the right answer!
",neutral,0.5014328360557556
5x08 - The Playbook,Lily," You're not rush a little, then?
",neutral,0.5902225375175476
5x08 - The Playbook,Barney," Since I went out with Robin there is a trick that I have not used as much as I wanted. It is... rather large, surprisingly heavy, with the skin, and it's black. My friends, this is the book of... Roles.
",surprise,0.8073150515556335
5x08 - The Playbook,Barney," The Roles book contains all the scams, trickery, deception, underhand, cunning, nonsense, and embobinages tricks I used, or expected use, to nab the girls and do their business.
",neutral,0.9041330814361572
5x08 - The Playbook,Marshall," You're writing another book? Stephen King was one right there.
",surprise,0.4370284080505371
5x08 - The Playbook,Barney," It's all there. Everything, starting from the basic, like Le Bois Do Not Ca...
",neutral,0.9192793369293213
5x08 - The Playbook,Barney," Do not drink it. I saw a guy put something.
",disgust,0.9607816934585571
5x08 - The Playbook,Barney," This guy.
",disgust,0.8171828389167786
5x08 - The Playbook,Barney,"... Until more advanced maneuvers, such as the Ms. Stinsfire.
",neutral,0.8118674755096436
5x08 - The Playbook,Marshall," I do not see how it could not walk.
",surprise,0.8460286855697632
5x08 - The Playbook,Ted," What The Lorenzo Von Matterhorn?
",neutral,0.7654750347137451
5x08 - The Playbook,Barney," Glad you asked. The Lorenzon Von Matterhorn will be my comeback on stage. Or, you know, in my bed. In fact, my bed is on a stage. I put it on a platform and installed lighting. A real production. Barney goes!
",surprise,0.44103801250457764
5x08 - The Playbook,Marshall," And you Robin? You leave it in play? Where is your book of Roles?
",neutral,0.6955499649047852
5x08 - The Playbook,Robin," My book? Buddy... in two volumes, right here.
",neutral,0.4048691987991333
5x08 - The Playbook,Ted," A great book.
",joy,0.9586983919143677
5x08 - The Playbook,Lily," Yeah, I'm reading it.
",neutral,0.68413245677948
5x08 - The Playbook,Robin," So, I have told you, I take a break on that side.
",neutral,0.6606749296188354
5x08 - The Playbook,Ted," It's going to happen.
",neutral,0.7138147354125977
5x08 - The Playbook,Marshall," Bluntly.
",neutral,0.825893223285675
5x08 - The Playbook,Robin," What?
",surprise,0.9092840552330017
5x08 - The Playbook,Ted," You'll fall in love.
",neutral,0.5074896812438965
5x08 - The Playbook,Marshall," Very soon.
",neutral,0.7793728113174438
5x08 - The Playbook,Robin," It's unlikely, I focus on my career, finished the rencards.
",neutral,0.5260987877845764
5x08 - The Playbook,Ted," We play Pyramid. What people are saying just before meeting the love.
",neutral,0.7896939516067505
5x08 - The Playbook,Marshall," Kelly Harris, a fellow law school, said... ""The law school is too hard, I want to focus on courses. ""Six months later?Married!
",surprise,0.7326619029045105
5x08 - The Playbook,Robin," It's good but...
",joy,0.7608266472816467
5x08 - The Playbook,Ted," Travis Frenchroy, replacing bartender told me... ""I'm done with all these rencards. I want to concentrate on my fan fiction of Star Trek. ""Six months later... Married!
",surprise,0.41576310992240906
5x08 - The Playbook,Robin," I answer? It's good for them...
",joy,0.848970353603363
5x08 - The Playbook,Marshall," Matthew Blitz, accounting job, said... ""I will die alone.To focus as much on taxes this year. ""Six months later? PACS and plans to marry pending the enactment of the Act currently in the Senate from New York!
",sadness,0.8500375747680664
5x08 - The Playbook,Ted," It happens, whatever you say. It is a law of nature.
",neutral,0.8164970278739929
5x08 - The Playbook,Marshall," Judged. By nature.
",disgust,0.6070584058761597
5x08 - The Playbook,Ted," Trust me. I would not get interested in relationships. I would not be single if I wanted to be single.
",sadness,0.4030363857746124
5x08 - The Playbook,Lily," Okay. Are you ready?
",neutral,0.699579656124115
5x08 - The Playbook,Ted," Ready for what?
",neutral,0.49243664741516113
5x08 - The Playbook,Lily," Three years ago, Shelly started working at my school.When I saw her, I said, ""It's perfect for Ted.""
",neutral,0.46687933802604675
5x08 - The Playbook,Ted," Why do not you talk to me now?
",anger,0.7866467833518982
5x08 - The Playbook,Lily," He is. It is so great and attentive and intelligent.
",neutral,0.8438051342964172
5x08 - The Playbook,Marshall," Another chicken and stick to you the crown!
",anger,0.4423607885837555
5x08 - The Playbook,Lily," I do not see it. It must be voluntary. So, another bar?
",disgust,0.487611323595047
5x08 - The Playbook,Ted," Yeah she was pretty.
",disgust,0.3958216607570648
5x08 - The Playbook,Lily," It still is. And you're ready.
",neutral,0.9547426700592041
5x08 - The Playbook,Marshall," But you can put three times more than chicken fingers in your mouth. You know.
",neutral,0.5759417414665222
5x08 - The Playbook,Lily," I will fix it but promise me not to do anything stupid.
",anger,0.5697884559631348
5x08 - The Playbook,Ted," I promise to do anything stupid.
",anger,0.6212771534919739
5x08 - The Playbook,Lily," You should!
",anger,0.8337668776512146
5x08 - The Playbook,Lily," You should! You should!
",anger,0.9301145076751709
5x08 - The Playbook,Lily," And you met him at McLaren's?
",surprise,0.5911225080490112
5x08 - The Playbook,Lily," What is the name there?
",neutral,0.8344128727912903
5x08 - The Playbook,Lily," You... dirty bastard.
",disgust,0.5619329214096069
5x08 - The Playbook,Lily," Bluntly.
",neutral,0.825893223285675
5x08 - The Playbook,Lily," I had put aside for Ted Shelly for 3 years.
",neutral,0.7337749004364014
5x08 - The Playbook,Barney," My hen, Ted did not miss much. She is brainy, boring, a bit boring in bed. In fact it would have been perfect for Ted.Oops!  If I had known she was there for Ted, I would have obviously not done, but... given the circumstances, I think Ted would be proud of me. I managed The Lorenzo Von Matterhorn.
",surprise,0.6381635665893555
5x08 - The Playbook,Lily," Exactly, yes.
",neutral,0.9061090350151062
5x08 - The Playbook,Lily," What The Lorenzo Von Matterhorn?
",neutral,0.7654750347137451
5x08 - The Playbook,Barney," Glad you asked.
",surprise,0.440072238445282
5x08 - The Playbook,Barney," To achieve the Lorenzo Von Matterhorn is what you need, basic knowledge in web design and a truly unique fake name. So think about your fake name right away. You? Fine.Now choose your target.  Preferably a girl with a great big... phone.  Yeah that's me.
",neutral,0.8124948740005493
5x08 - The Playbook,Barney," I'm Lorenzo Von Matterhorn.
",neutral,0.7983543872833252
5x08 - The Playbook,Barney," Yes. You do not know who I am, does not it? It feels good for once. Nice to meet you...
",joy,0.9490468502044678
